month,stake_units,return_units,race_count,roi,hit_rate,model_used,train_row_count,train_hit_count,fallback_reason,core_model_used,core_train_row_count,core_train_hit_count,core_model_fallback_reason
2026-01,1080,772.4,180,0.7151851851851851,0.17777777777777778,False,0,0,before_start_month_source_cold_start,False,0,0,before_start_month_source_cold_start
2026-02,1125,1598.7,176,1.4210666666666663,0.24431818181818182,False,0,0,before_start_month_source_cold_start,False,0,0,before_start_month_source_cold_start
2026-03,1404,1411.4,184,1.0052706552706552,0.3804347826086957,True,2442,12,,True,2442,12,
2026-04,1022,903.2,169,0.8837573385518591,0.3076923076923077,True,3588,21,,True,3588,21,
2026-05,1366,2326.2,205,1.7029282576866767,0.4,True,4753,29,,True,4753,29,
2026-06,1010,954.3,152,0.9448514851485148,0.3355263157894737,True,6014,47,,True,6014,47,
2026-07,781,971.2,96,1.243533930857874,0.5104166666666666,True,7230,56,,True,7230,56,
