race_id,date,month,venue,race_number,strategy,selected_count,total_stake_units,stake_units,return_units,profit_units,hit,selected_tickets,selected_odds,actual_ticket,actual_payout_units,source_sequence,stake_mode,girls_rain_surface_penalty,girls_venue_is_400m_bank,race_margin_chaos_score,girls_venue_is_short_bank,race_market_entropy_score,girls_race_stage_general,promotion_market_overbet_risk,girls_race_stage_final,girls_market_top_probability,girls_field_top_point_gap,girls_crosswind_component,girls_market_entropy,girls_venue_is_500m_bank,girls_race_stage_qualifying,girls_venue_bank_exposure,girls_tailwind_component,girls_venue_bank_length_m,girls_headwind_component,girls_field_point_stddev,gate_pass,source_candidate,risk_guard,risk_guard_pass,risk_guard_field,risk_guard_value,risk_guard_scale,original_stake_units,original_return_units
20260103-45-06,2026-01-03,2026-01,豊橋,6,pre_roll_cap15_overlay_s3_full_through_20260702,15,15,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,9,-6,True,3-4-7|3-4-6|3-7-4|3-4-2|4-7-6|3-1-4|3-5-4|3-1-6|4-3-2|3-6-2|3-6-4|4-6-7|3-5-2|3-2-7|4-3-6,5|7.4|7.8|9|326|71.1|72.9|151.1|89.7|47.8|21.6|344.4|127.3|23.2|65.6,3-4-2,9,base|sleeve,source,0.0,1.0,0.413539,0.0,0.644125,0.0,0.0,0.0,0.14931886682,2.39,0.0,0.644125152392,0.0,1.0,1.15,0.0,400.0,0.0,2.70250903829,unknown,pre_roll_cap15_overlay_s3_full_through_20260702,__no_guard__,False,,,1.0,33.0,9.0
20260103-45-07,2026-01-03,2026-01,豊橋,7,pre_roll_cap15_overlay_s3_full_through_20260702,13,13,1|1|1|1|1|1|1|1|1|1|1|1|1,14.9,1.9,True,5-7-3|5-3-7|5-3-2|5-7-1|2-1-5|1-5-7|1-5-3|5-4-7|3-1-7|7-2-5|3-5-6|2-7-5|7-5-1,7.2|8.5|14.9|15.1|285.8|209.9|235.7|250.2|213.2|182.5|283.8|186.1|69.8,5-3-2,14.9,base|sleeve,source,0.0,1.0,0.380508,0.0,0.72662,0.0,0.0,0.0,0.103930984676,2.39,0.0,0.726620272848,0.0,1.0,1.15,0.0,400.0,0.0,2.718110838544,unknown,pre_roll_cap15_overlay_s3_full_through_20260702,__no_guard__,False,,,1.0,30.0,14.9
20260103-73-06,2026-01-03,2026-01,小松島,6,pre_roll_cap15_overlay_s3_full_through_20260702,12,12,1|1|1|1|1|1|1|1|1|1|1|1,0,-12,False,7-4-3|4-7-3|7-3-4|4-7-2|2-4-7|2-7-4|2-7-3|4-6-3|4-1-3|3-2-7|4-7-5|3-2-4,7.5|8.1|9.7|13.7|226|162.5|223.4|249.5|248.8|92.3|81.1|116.6,,0,base|sleeve,source,0.0,1.0,0.407704,0.0,0.71589,0.0,0.0,0.0,0.099681236268,0.29,0.0,0.715890247438,0.0,1.0,1.15,0.0,400.0,0.0,2.943529742832,unknown,pre_roll_cap15_overlay_s3_full_through_20260702,__no_guard__,False,,,1.0,30.0,0.0
20260103-73-07,2026-01-03,2026-01,小松島,7,pre_roll_cap15_overlay_s3_full_through_20260702,16,16,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,5.6,-10.4,True,1-3-6|1-3-5|1-6-3|1-5-3|3-5-6|6-3-5|5-6-3|6-5-3|5-3-6|1-6-2|1-3-4|5-1-3|1-5-2|1-3-2|1-7-5|6-1-5,5.6|6.5|8|9.1|390.8|327.2|31|332.9|309.1|84.5|76.7|58.4|89.7|5|47.4|85.2,1-3-6,5.6,base|sleeve,source,0.0,1.0,0.374861,0.0,0.64246,0.0,0.0,0.0,0.133378897636,3.33,0.0,0.642459805859,0.0,1.0,1.15,0.0,400.0,0.0,3.269970979089,unknown,pre_roll_cap15_overlay_s3_full_through_20260702,__no_guard__,False,,,1.0,33.0,5.6
20260104-13-06,2026-01-04,2026-01,いわき平,6,pre_roll_cap15_overlay_s3_full_through_20260702,15,15,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,21.9,6.9,True,1-7-3|1-3-7|1-3-6|1-7-6|3-6-1|3-1-6|7-3-1|1-6-7|3-1-7|1-6-2|1-3-5|1-7-5|7-6-1|7-1-2|1-6-5,5.4|5.6|9.2|13.1|356.7|130.1|141.8|26.4|78.2|50.8|21.1|21.9|419.3|129.7|70.2,1-7-5,21.9,base|sleeve,source,0.0,1.0,0.318738,0.0,0.631769,0.0,0.0,0.0,0.138280794598,3.84,0.0,0.631768601916,0.0,1.0,1.15,0.0,400.0,0.0,3.216508437827,unknown,pre_roll_cap15_overlay_s3_full_through_20260702,__no_guard__,False,,,1.0,33.0,21.9
20260104-13-07,2026-01-04,2026-01,いわき平,7,pre_roll_cap15_overlay_s3_full_through_20260702,16,16,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,4.4,-11.6,True,5-3-6|5-3-2|5-6-3|5-3-7|5-6-2|3-5-6|5-2-3|5-6-4|5-6-7|5-3-4|5-3-1|5-7-6|5-6-1|5-7-3|5-1-3|3-5-2,2.5|4.4|7|11.2|25|58.8|24.4|81.7|35.9|17.2|19.3|83.3|78.3|42.4|87.9|97,5-3-2,4.4,base|sleeve,source,0.0,1.0,0.263459,0.0,0.514646,0.0,0.0,0.0,0.296766404646,3.16,0.0,0.514645674744,0.0,1.0,1.15,0.0,400.0,0.0,18.204424893808,unknown,pre_roll_cap15_overlay_s3_full_through_20260702,__no_guard__,False,,,1.0,33.0,4.4
20260104-45-05,2026-01-04,2026-01,豊橋,5,pre_roll_cap15_overlay_s3_full_through_20260702,13,13,1|1|1|1|1|1|1|1|1|1|1|1|1,0,-13,False,2-1-7|2-1-3|1-2-7|2-1-4|1-6-7|1-6-4|3-1-7|1-6-5|1-6-3|5-1-2|7-2-4|3-2-7|7-1-2,9.6|12.3|16.4|16.4|287.7|287.7|282.6|297.3|218.5|236.1|211.6|212.5|89.6,,0,base|sleeve,source,0.0,1.0,0.415553,0.0,0.806343,1.0,0.0,0.0,0.077996580664,1.54,0.0,0.806342845858,0.0,0.0,1.15,0.0,400.0,0.0,1.966101498408,unknown,pre_roll_cap15_overlay_s3_full_through_20260702,__no_guard__,False,,,1.0,30.0,0.0
20260104-45-11,2026-01-04,2026-01,豊橋,11,pre_roll_cap15_overlay_s3_full_through_20260702,13,13,1|1|1|1|1|1|1|1|1|1|1|1|1,0,-13,False,2-6-3|2-3-6|2-6-1|2-3-1|1-3-2|3-1-2|1-6-2|6-1-3|3-6-2|6-7-2|2-4-5|5-2-6|6-3-2,8.1|8.9|13.1|14.9|268.5|271.1|199|207.7|141|275.2|153.1|287.1|84.8,,0,base|sleeve,source,0.0,1.0,0.388204,0.0,0.74861,0.0,0.0,1.0,0.092357843031,1.77,0.0,0.748610034827,0.0,0.0,1.15,0.0,400.0,0.0,2.511888467562,unknown,pre_roll_cap15_overlay_s3_full_through_20260702,__no_guard__,False,,,1.0,30.0,0.0
20260104-61-05,2026-01-04,2026-01,玉野,5,pre_roll_cap15_overlay_s3_full_through_20260702,16,16,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,20.4,4.4,True,7-5-3|5-7-3|5-7-1|7-5-1|1-3-7|1-3-5|5-1-2|7-1-5|7-1-2|5-3-2|5-1-7|7-5-2|5-3-1|7-3-2|5-4-7|5-2-3,6.1|6.5|10.6|11|356.3|384.2|79.7|25.8|79.9|63.4|21|20.4|45.5|49.6|435.2|90.5,7-5-2,20.4,base|sleeve,source,0.0,1.0,0.390923,0.0,0.674745,0.0,0.0,0.0,0.122706218198,0.37,0.0,0.674745176387,0.0,1.0,1.15,0.0,400.0,0.0,3.136499413587,unknown,pre_roll_cap15_overlay_s3_full_through_20260702,__no_guard__,False,,,1.0,33.0,20.4
20260104-61-06,2026-01-04,2026-01,玉野,6,pre_roll_cap15_overlay_s3_full_through_20260702,15,15,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,0,-15,False,1-5-6|1-6-5|1-5-7|1-6-7|7-6-5|6-4-1|5-4-1|5-6-1|1-4-6|1-5-2|1-2-4|7-6-1|1-5-4|7-1-6|1-6-4,6.6|7.5|8.7|10.1|360.6|401.7|386.8|90.8|29.1|26.1|79.4|196.5|23.4|96.3|26.6,,0,base|sleeve,source,0.0,1.0,0.313727,0.0,0.685478,0.0,0.0,0.0,0.113454299781,2.24,0.0,0.685478498981,0.0,1.0,1.15,0.0,400.0,0.0,2.878564693363,unknown,pre_roll_cap15_overlay_s3_full_through_20260702,__no_guard__,False,,,1.0,33.0,0.0
