strategy,race_id,date,venue,race_number,selection_rank,ticket,stake_units,decimal_odds,p_final,p_model,p_market,expected_value,actual_hit,payout_units,return_units,profit_units,asof_label,odds_policy_status
wf_core_bucket_replace_all_drop200_plus_fill80_120_ev_sourcecnt_fixed,20260102-45-06,2026-01-02,豊橋,6,3,2-6-5,1,18.1,0.041289076466,0.041289076466,,0.747332284035,False,,0,-1,final,final_odds_research_only
wf_core_bucket_replace_all_drop200_plus_fill80_120_ev_sourcecnt_fixed,20260102-45-06,2026-01-02,豊橋,6,4,2-7-3,1,21.9,0.034124761828,0.034124761828,,0.747332284033,False,,0,-1,final,final_odds_research_only
wf_core_bucket_replace_all_drop200_plus_fill80_120_ev_sourcecnt_fixed,20260102-45-06,2026-01-02,豊橋,6,5,2-5-3,1,14.4,0.05189807528,0.05189807528,,0.747332284032,False,,0,-1,final,final_odds_research_only
wf_core_bucket_replace_all_drop200_plus_fill80_120_ev_sourcecnt_fixed,20260102-45-06,2026-01-02,豊橋,6,6,2-3-7,1,13.9,0.05376491252,0.05376491252,,0.747332284028,False,,0,-1,final,final_odds_research_only
wf_core_bucket_replace_all_drop200_plus_fill80_120_ev_sourcecnt_fixed,20260102-45-07,2026-01-02,豊橋,7,1,7-4-5,1,22.7,0.032861383948,0.032861383948,,0.74595341562,False,,0,-1,final,final_odds_research_only
wf_core_bucket_replace_all_drop200_plus_fill80_120_ev_sourcecnt_fixed,20260102-45-07,2026-01-02,豊橋,7,2,7-5-3,1,12.4,0.060157533517,0.060157533517,,0.745953415611,False,,0,-1,final,final_odds_research_only
wf_core_bucket_replace_all_drop200_plus_fill80_120_ev_sourcecnt_fixed,20260102-45-07,2026-01-02,豊橋,7,3,7-1-4,1,13,0.05738103197,0.05738103197,,0.74595341561,False,,0,-1,final,final_odds_research_only
wf_core_bucket_replace_all_drop200_plus_fill80_120_ev_sourcecnt_fixed,20260102-45-07,2026-01-02,豊橋,7,4,5-7-1,1,44.6,0.016725412906,0.016725412906,,0.745953415608,False,,0,-1,final,final_odds_research_only
wf_core_bucket_replace_all_drop200_plus_fill80_120_ev_sourcecnt_fixed,20260102-45-07,2026-01-02,豊橋,7,5,7-4-1,1,28.6,0.026082287259,0.026082287259,,0.745953415607,False,,0,-1,final,final_odds_research_only
wf_core_bucket_replace_all_drop200_plus_fill80_120_ev_sourcecnt_fixed,20260102-45-07,2026-01-02,豊橋,7,6,5-7-4,1,78,0.009563505328,0.009563505328,,0.745953415584,False,,0,-1,final,final_odds_research_only
wf_core_bucket_replace_all_drop200_plus_fill80_120_ev_sourcecnt_fixed,20260102-47-04,2026-01-02,松阪,4,1,4-6-3,1,47,0.015931086604,0.015931086604,,0.748761070388,False,,0,-1,final,final_odds_research_only
wf_core_bucket_replace_all_drop200_plus_fill80_120_ev_sourcecnt_fixed,20260102-47-04,2026-01-02,松阪,4,2,3-5-4,1,13.7,0.054654092728,0.054654092728,,0.748761070374,False,,0,-1,final,final_odds_research_only
